id;name;order_number;area_id;process_id
255;X-RAY;X-RAY;11;19;81
256;ICT test;ICT test;12;19;13
257;Coating;Coating;13;19;15
258;Control Coating;Control Coating;14;19;58
259;Cover Assy ;Cover Assy ;15;19;71
260;Manual Fuse Insertion;Manual Fuse Insertion;16;19;72
261;FKT;FKT;17;19;31
262;IPTE;IPTE;18;19;117
263;Shipping Client;Shipping Client;19;19;57
264;Control Firewall;Control Firewall;20;19;73
265;Insertion Automatique ;Insertion Automatique ;1;20;4
266;Insertion  Ushape;Insertion  Ushape;2;20;118
267;Insertion Manuelle;Insertion Manuelle;3;20;67
268;AOI OMRON;AOI OMRON;7;20;7
269;Coupe Bussbar;Coupe Bussbar;8;20;119
270;Preparation Busber;Preparation Busber;9;20;120
271;ICT test;ICT test;10;20;13
272;Cover Assy ;Cover Assy ;11;20;71
273;Vissage Cover;Vissage Cover;12;20;121
274;FKT;FKT;13;20;31
275;Shipping Client;Shipping Client;15;20;57
276;Revting;Revting;16;20;122
277;Preparation Cambrage;Preparation Cambrage;17;20;74
278;Cambrage;Cambrage;18;20;109
279;Insertion Manuelle;Insertion Manuelle;1;21;67
280;AOI OMRON;AOI OMRON;6;21;7
281;Coupe Bussbar ;Coupe Bussbar ;7;21;123
282;ICT test;ICT test;8;21;13
283;Preparation Bushing;Preparation Bushing;9;21;124
284;Cover Assy ;Cover Assy ;10;21;71
285;Vissage Cover;Vissage Cover;11;21;121
286;FKT;FKT;12;21;31
287;Shipping Client;Shipping Client;14;21;57
288;Cambrage;Cambrage;15;21;109
289;Preparation Cambrage;Preparation Cambrage;16;21;74
290;Lazer;Lazer;1;22;1
291;Serigraphie DEK;Serigraphie DEK;2;22;63
292;Cyber-Optics;Cyber-Optics;3;22;3
293;P&P Panasonic;P&P Panasonic;4;22;5
294;Reflow;Reflow;5;22;6
295;AOI 3D;AOI 3D;6;22;125
296;ICT test;ICT test;7;22;13
297;Rooter;Rooter;8;22;60
298;Shipping Client;Shipping Client;9;22;57
299;Universal;Universal;1;23;65
300;Insertion Automatique ;Insertion Automatique ;2;23;4
301;LA COUPE;LA COUPE;3;23;126
302;Insertion Manuelle;Insertion Manuelle;4;23;67
303;AOI OMRON;AOI OMRON;8;23;7
304;ICT test;ICT test;9;23;13
305;PRESS-FIT;PRESS-FIT;10;23;68
306;AOI ROTARY;AOI ROTARY;11;23;127
307;VERNISSAGE;VERNISSAGE;12;23;70
308;Cover Assy ;Cover Assy ;13;23;71
309;Manual Fuse Insertion;Manual Fuse Insertion;14;23;72
310;Shipping Client;Shipping Client;15;23;57
311;Control Firewall;Control Firewall;16;23;73
312;Preparation Cambrage;Preparation Cambrage;17;23;74
313;Insertion Automatique ;Insertion Automatique ;1;24;4
314;Insertion Manuelle;Insertion Manuelle;2;24;67
315;AOI ROTARY;AOI ROTARY;6;24;127
316;ICT test;ICT test;7;24;13
317;Selective Coating;Selective Coating;8;24;128
318;Edge Coating;Edge Coating;9;24;90
319;Insertion Long Pin ;Insertion Long Pin ;10;24;110
320;SOUDAGE Long pin;SOUDAGE Long pin;11;24;111
321;Poka-Yoke;Poka-Yoke;12;24;112
322;Control Firewall;Control Firewall;13;24;73
323;Houssing;Houssing;15;24;82
324;TEST SANDWISH;TEST SANDWISH;16;24;80
325;AUTOMATIC § MANUAL FUSS § RELAY ASSEMBLY;AUTOMATIC § MANUAL FUSS § RELAY ASSEMBLY;17;24;129
326;PRESS FUSE;PRESS FUSE;18;24;130
327;FKT;FKT;19;24;31
328;Preparation Radsock;Preparation Radsock;21;24;131
329;Shipping Client;Shipping Client;22;24;57
330;Lazer;Lazer;1;25;1
331;Serigraphie DEK;Serigraphie DEK;2;25;63
332;Cyber-Optics;Cyber-Optics;3;25;3
333;P&P Panasonic;P&P Panasonic;4;25;5
334;Reflow;Reflow;5;25;6
335;AOI IPTE;AOI IPTE;6;25;88
336;Control Firewall;Control Firewall;7;25;73
337;ICT test;ICT test;8;25;13
338;Coating;Coating;9;25;15
339;Control Coating;Control Coating;10;25;58
340;Rooter;Rooter;11;25;60
341;Shipping Client;Shipping Client;12;25;57
342;Vissage Connecteur;Vissage Connecteur;1;26;104
343;AOI ROTARY;AOI ROTARY;2;26;127
344;Insertion Manuelle;Insertion Manuelle;3;26;67
345;Control Firewall;Control Firewall;4;26;73
346;ASSEMBLAGE;ASSEMBLAGE;5;26;87
347;FKT;FKT;6;26;31
348;Shipping Client;Shipping Client;8;26;57
349;Lazer;Lazer;1;27;1
350;Serigraphie DEK;Serigraphie DEK;2;27;63
351;SOLDER PASTE INSPECTION;SOLDER PASTE INSPECTION;3;27;132
352;P&P Panasonic;P&P Panasonic;4;27;5
353;TERMINAL INSERTION;TERMINAL INSERTION;5;27;133
354;Reflow;Reflow;6;27;6
355;AOI OMRON;AOI OMRON;7;27;7
356;PRESS-FIT;PRESS-FIT;1;28;68
357;Selective  Soldering;Selective  Soldering;2;28;95
358;AOI ROTARY;AOI ROTARY;5;28;127
359;ICT test;ICT test;6;28;13
360;Control Firewall;Control Firewall;7;28;73
361;Coating;Coating;8;28;15
362;Control Coating;Control Coating;9;28;58
363;Rooter;Rooter;10;28;60
364;Application Holtmet;Application Holtmet;11;28;134
365;Power Module;Power Module;12;28;135
366;Offline Station 1;Offline Station 1;13;28;136
367;Offline Station 2;Offline Station 2;14;28;137
368;Loading/ Unloading (header screwing);Loading/ Unloading (header screwing);15;28;138
369;Dispensing;Dispensing;16;28;139
370;Pressing Station;Pressing Station;17;28;140
371;Reflow;Reflow;18;28;6
372;ASSEMBLAGE 1 OBC;ASSEMBLAGE 1 OBC;19;28;141
373;ASSEMBLAGE 2 OBC;ASSEMBLAGE 2 OBC;20;28;142
374;ASSEMBLAGE 3 OBC;ASSEMBLAGE 3 OBC;21;28;143
375;ASSEMBLAGE 4 OBC;ASSEMBLAGE 4 OBC;22;28;144
376;ASSEMBLAGE 5 OBC;ASSEMBLAGE 5 OBC;23;28;145
377;ASSEMBLAGE 6 OBC;ASSEMBLAGE 6 OBC;24;28;146
378;ASSEMBLAGE 7 OBC;ASSEMBLAGE 7 OBC;25;28;147
379;ASSEMBLAGE 8 OBC;ASSEMBLAGE 8 OBC;26;28;148
380;ASSEMBLAGE 9 OBC;ASSEMBLAGE 9 OBC;27;28;149
381;Automatique  Clinching;Automatique  Clinching;28;28;150
382;FKT;FKT;29;28;31
383;Leak Test;Leak Test;30;28;32
384;Labeling;Labeling;31;28;84
385;Lazer;Lazer;32;28;1
386;Shipping Client;Shipping Client;34;28;57
387;Lazer;Lazer;1;29;1
388;Serigraphie DEK;Serigraphie DEK;2;29;63
389;Cyber-Optics;Cyber-Optics;3;29;3
390;P&P Panasonic;P&P Panasonic;4;29;5
391;Reflow;Reflow;5;29;6
392;AOI MODUS;AOI MODUS;6;29;12
393;PRESS-FIT;PRESS-FIT;7;29;68
394;Insertion Manuelle;Insertion Manuelle;1;30;67
395;AOI ROTARY;AOI ROTARY;4;30;127
396;Selective  Soldering;Selective  Soldering;5;30;95
397;AOI Viscom;AOI Viscom;6;30;151
398;ICT test;ICT test;7;30;13
399;Coating;Coating;8;30;15
400;Control Coating;Control Coating;9;30;58
401;Rooter;Rooter;10;30;60
402;PCB Gluing;PCB Gluing;11;30;152
403;Power PCB Assembly;Power PCB Assembly;12;30;153
404;Houssing;Houssing;13;30;82
405;Dispensing;Dispensing;17;30;139
406;Cover Assy ;Cover Assy ;18;30;71
407;Main Seal Assembly;Main Seal Assembly;21;30;154
408;Mariage Assy ;Mariage Assy ;22;30;155
409;FKT;FKT;25;30;31
410;Leak Test;Leak Test;26;30;32
411;Accessories Assembly;Accessories Assembly;28;30;36
412;Shipping Client;Shipping Client;29;30;57
413;Lazer;Lazer;1;31;1
414;Serigraphie DEK;Serigraphie DEK;2;31;63
415;SOLDER PASTE INSPECTION;SOLDER PASTE INSPECTION;3;31;132
416;P&P Panasonic;P&P Panasonic;4;31;5
417;Reflow;Reflow;5;31;6
418;AOI OMRON;AOI OMRON;6;31;7
419;Insertion Manuelle;Insertion Manuelle;1;31;67
420;AOI Viscom;AOI Viscom;2;31;151
421;ICT test;ICT test;3;31;13
422;Rooter;Rooter;4;31;60
423;ASSEMBLAGE;ASSEMBLAGE;5;31;87
424;FKT;FKT;6;31;31
425;Labeling;Labeling;7;31;84
426;Final AOI;Final AOI;8;31;156
427;GP 12 (Contrôle);GP 12 (Contrôle);9;31;157
428;Shipping Client;Shipping Client;10;31;57
429;Lazer;Lazer;1;33;1
430;Serigraphie DEK;Serigraphie DEK;2;33;63
431;Cyber-Optics;Cyber-Optics;3;33;3
432;P&P Panasonic;P&P Panasonic;4;33;5
433;Reflow;Reflow;5;33;6
434;AOI 3D;AOI 3D;6;33;125
435;X-RAY;X-RAY;7;33;81
436;ICT test;ICT test;9;33;13
437;Coating;Coating;10;33;15
438;Control Coating;Control Coating;11;33;58
439;Depaneling;Depaneling;12;33;66
440;Houssing;Houssing;13;33;82
441;FKT;FKT;14;33;31
442;Shipping Client;Shipping Client;16;33;57
443;Lazer;Lazer;1;34;1
444;Serigraphie DEK;Serigraphie DEK;2;34;63
445;Cyber-Optics;Cyber-Optics;3;34;3
446;P&P Panasonic;P&P Panasonic;4;34;5
447;Reflow;Reflow;5;34;6
448;AOI IPTE;AOI IPTE;6;34;88
449;ICT test;ICT test;7;34;13
450;Depaneling;Depaneling;8;34;66
451;Houssing;Houssing;9;34;82
452;FKT;FKT;10;34;31
453;Labeling;Labeling;11;34;84
454;Shipping Client;Shipping Client;12;34;57
455;Lazer;Lazer;1;35;1
456;Serigraphie DEK;Serigraphie DEK;2;35;63
457;Cyber-Optics;Cyber-Optics;3;35;3
458;P&P Panasonic;P&P Panasonic;4;35;5
459;Reflow;Reflow;5;35;6
460;AOI MODUS;AOI MODUS;6;35;12
461;PRESS-FIT;PRESS-FIT;7;35;68
462;ICT test;ICT test;8;35;13
463;Rooter;Rooter;9;35;60
464;ASSEMBLAGE;ASSEMBLAGE;10;35;87
465;Leak Test;Leak Test;11;35;32
466;FKT;FKT;12;35;31
467;Sealing Ring ASSY ;Sealing Ring ASSY ;13;35;158
468;Shipping Client;Shipping Client;14;35;57
469;Lazer;Lazer;1;36;1
470;Serigraphie DEK;Serigraphie DEK;2;36;63
471;Cyber-Optics;Cyber-Optics;3;36;3
472;P&P Panasonic;P&P Panasonic;4;36;5
473;Reflow;Reflow;5;36;6
474;AOI MODUS;AOI MODUS;6;36;12
475;PRESS-FIT;PRESS-FIT;7;36;68
476;ICT test;ICT test;8;36;13
477;Rooter;Rooter;9;36;60
478;Machine assembly ;Machine assembly ;10;36;159
479;Labeling;Labeling;11;36;84
480;Leak Test;Leak Test;12;36;32
481;Shipping Client;Shipping Client;14;36;57
482;Lazer;Lazer;1;37;1
483;Serigraphie DEK;Serigraphie DEK;2;37;63
484;Cyber-Optics;Cyber-Optics;3;37;3
485;P&P Panasonic;P&P Panasonic;4;37;5
486;Reflow;Reflow;5;37;6
487;AOI 2D;AOI 2D;6;37;64
488;ICT test;ICT test;7;37;13
489;FKT;FKT;8;37;31
490;Labeling;Labeling;9;37;84
491;Coating;Coating;10;37;15
492;Control Coating;Control Coating;11;37;58
493;Rooter;Rooter;12;37;60
494;X-RAY;X-RAY;13;37;81
495;Shipping Client;Shipping Client;14;37;57
496;Lazer;Lazer;1;38;1
497;Serigraphie DEK;Serigraphie DEK;2;38;63
498;Cyber-Optics;Cyber-Optics;3;38;3
499;Insertion Automatique ;Insertion Automatique ;4;38;4
500;P&P Panasonic;P&P Panasonic;5;38;5
501;Reflow;Reflow;6;38;6
502;AOI IPTE;AOI IPTE;7;38;88
503;ICT test;ICT test;8;38;13
504;PRESS-FIT;PRESS-FIT;9;38;68
505;Coating;Coating;10;38;15
506;Control Coating;Control Coating;11;38;58
507;Depaneling;Depaneling;12;38;66
508;Cover Assy ;Cover Assy ;13;38;71
509;FKT;FKT;14;38;31
510;Labeling;Labeling;15;38;84
511;Shipping Client;Shipping Client;16;38;57
512;Lazer;Lazer;1;39;1
513;Serigraphie DEK;Serigraphie DEK;2;39;63
514;Cyber-Optics;Cyber-Optics;3;39;3
515;P&P Panasonic;P&P Panasonic;4;39;5
516;Reflow;Reflow;5;39;6
517;AOI KOHYOUNG ;AOI KOHYOUNG ;6;39;160
518;PRESS-FIT;PRESS-FIT;7;39;68
519;ICT test;ICT test;8;39;13
520;Rooter;Rooter;9;39;60
521;Dispensing;Dispensing;10;39;139
522;FKT;FKT;11;39;31
523;AOI MARKING;AOI MARKING;12;39;161
524;Shipping Client;Shipping Client;13;39;57
525;Lazer;Lazer;1;40;1
526;Dec;Dec;2;40;162
527;Cyber-Optics;Cyber-Optics;3;40;3
528;P&P Panasonic;P&P Panasonic;4;40;5
529;Reflow;Reflow;5;40;6
530;AOI MODUS;AOI MODUS;6;40;12
531;X-RAY;X-RAY;7;40;81
532;ICT test;ICT test;8;40;13
533;Rooter;Rooter;9;40;60
534;Dispensing;Dispensing;10;40;139
535;FKT;FKT;11;40;31
536;Shipping Client;Shipping Client;12;40;57
537;Lazer;Lazer;1;41;1
538;Serigraphie DEK;Serigraphie DEK;2;41;63
539;Cyber-Optics;Cyber-Optics;3;41;3
540;P&P Panasonic;P&P Panasonic;4;41;5
541;Reflow;Reflow;5;41;6
542;AOI MODUS;AOI MODUS;6;41;12
543;X-RAY;X-RAY;7;41;81
544;PRESS-FIT;PRESS-FIT;8;41;68
545;ICT test;ICT test;9;41;13
546;Coating;Coating;10;41;15
547;Control Coating;Control Coating;11;41;58
548;Rooter;Rooter;12;41;60
549;FKT;FKT;13;41;31
550;Machine assembly;Machine assembly;14;41;163
551;Labeling;Labeling;15;41;84
552;Leak Test;Leak Test;16;41;32
553;Shipping Client;Shipping Client;18;41;57
554;Lazer;Lazer;1;42;1
555;Serigraphie DEK;Serigraphie DEK;2;42;63
556;Cyber-Optics;Cyber-Optics;3;42;3
557;P&P Panasonic;P&P Panasonic;4;42;5
558;Reflow;Reflow;5;42;6
559;AOI MODUS;AOI MODUS;6;42;12
560;X-RAY;X-RAY;7;42;81
561;ICT test;ICT test;8;42;13
562;Coating;Coating;9;42;15
563;Control Coating;Control Coating;10;42;58
564;Rooter;Rooter;11;42;60
565;ASSEMBLAGE;ASSEMBLAGE;12;42;87
566;FKT;FKT;13;42;31
567;Shipping Client;Shipping Client;14;42;57
568;Lazer;Lazer;1;43;1
569;Serigraphie DEK;Serigraphie DEK;2;43;63
570;Cyber-Optics;Cyber-Optics;3;43;3
571;P&P Panasonic;P&P Panasonic;4;43;5
572;Reflow;Reflow;5;43;6
573;AOI MODUS;AOI MODUS;6;43;12
574;X-RAY;X-RAY;7;43;81
575;Insertion Manuelle;Insertion Manuelle;8;43;67
576;Wave Soldering;Wave Soldering;12;43;105
577;ICT test;ICT test;14;43;13
578;Coating;Coating;15;43;15
579;Control Coating;Control Coating;16;43;58
580;Dispensing;Dispensing;17;43;139
581;FKT;FKT;18;43;31
582;Shipping Client;Shipping Client;19;43;57
583;Lazer;Lazer;1;44;1
584;Serigraphie DEK;Serigraphie DEK;2;44;63
585;Cyber-Optics;Cyber-Optics;3;44;3
586;P&P Panasonic;P&P Panasonic;4;44;5
587;Reflow;Reflow;5;44;6
588;AOI MODUS;AOI MODUS;6;44;12
589;X-RAY;X-RAY;7;44;81
590;Insertion Manuelle;Insertion Manuelle;8;44;67
591;Wave Soldering;Wave Soldering;12;44;105
592;ICT test;ICT test;14;44;13
593;Coating;Coating;15;44;15
594;Control Coating;Control Coating;16;44;58
595;Dispensing;Dispensing;17;44;139
596;FKT;FKT;18;44;31
597;Shipping Client;Shipping Client;19;44;57
598;Lazer;Lazer;1;45;1
599;Serigraphie DEK;Serigraphie DEK;2;45;63
